method,fillPerc,confidence,leaves,treeSize,performanceValidation,performanceTraining
moda,47.50,0.0010,27,53,52.9553,56.7016
moda,47.50,0.0250,292,583,55.8307,72.164
moda,47.50,0.0500,463,925,57.9073,79.8475
moda,47.50,0.0750,557,1113,58.147,83.1459
moda,47.50,0.1000,597,1193,58.3067,84.347
moda,47.50,0.1250,635,1269,58.3067,85.3384
moda,47.50,0.1500,678,1355,58.7859,86.387
moda,47.50,0.1750,697,1393,58.6262,86.8255
moda,47.50,0.2000,713,1425,58.5463,87.1115
moda,47.50,0.2250,730,1459,58.6262,87.4357
moda,47.50,0.2500,755,1509,59.2652,87.9123
moda,47.50,0.2750,764,1527,59.4249,88.0839
moda,47.50,0.3000,772,1543,59.4249,88.1983
moda,47.50,0.3250,774,1547,59.4249,88.2364
moda,47.50,0.3500,775,1549,59.4249,88.2364
moda,47.50,0.3750,784,1567,58.8658,88.3889
moda,47.50,0.4000,790,1579,58.8658,88.4843
moda,47.50,0.4250,793,1585,58.7859,88.5605
moda,47.50,0.4500,798,1595,58.5463,88.6749
moda,47.50,0.4750,807,1613,58.4665,88.7703
moda,47.50,0.5000,811,1621,58.6262,88.8465
moda,50.00,0.0010,34,67,52.1565,56.6444
moda,50.00,0.0250,258,515,56.0703,70.6006
moda,50.00,0.0500,434,867,55.5911,78.5701
moda,50.00,0.0750,499,997,54.7923,80.9533
moda,50.00,0.1000,582,1163,54.4728,83.5844
moda,50.00,0.1250,616,1231,54.6326,84.5377
moda,50.00,0.1500,636,1271,54.393,85.0334
moda,50.00,0.1750,650,1299,55.0319,85.3765
moda,50.00,0.2000,681,1361,54.7125,86.0248
moda,50.00,0.2250,698,1395,55.1118,86.3489
moda,50.00,0.2500,719,1437,55.1118,86.7684
moda,50.00,0.2750,726,1451,55.1118,86.9018
moda,50.00,0.3000,729,1457,55.2716,86.9781
moda,50.00,0.3250,738,1475,55.4313,87.1115
moda,50.00,0.3500,741,1481,55.4313,87.1687
moda,50.00,0.3750,745,1489,55.5112,87.2259
moda,50.00,0.4000,753,1505,55.5112,87.3975
moda,50.00,0.4250,757,1513,55.4313,87.4357
moda,50.00,0.4500,757,1513,55.4313,87.4357
moda,50.00,0.4750,757,1513,55.4313,87.4357
moda,50.00,0.5000,761,1521,55.4313,87.4547
moda,52.50,0.0010,30,59,51.278,56.3775
moda,52.50,0.0250,263,525,55.5911,70.8294
moda,52.50,0.0500,462,923,55.5911,80.2669
moda,52.50,0.0750,511,1021,55.1917,81.6778
moda,52.50,0.1000,564,1127,54.9521,83.3365
moda,52.50,0.1250,581,1161,55.1118,83.7941
moda,52.50,0.1500,634,1267,54.5527,85.224
moda,52.50,0.1750,662,1323,55.0319,85.796
moda,52.50,0.2000,697,1393,55.1917,86.654
moda,52.50,0.2250,720,1439,55.5911,87.0925
moda,52.50,0.2500,731,1461,55.9904,87.3022
moda,52.50,0.2750,749,1497,55.6709,87.6072
moda,52.50,0.3000,751,1501,55.6709,87.6454
moda,52.50,0.3250,759,1517,55.8307,87.7979
moda,52.50,0.3500,767,1533,55.9105,87.9314
moda,52.50,0.3750,775,1549,55.9105,88.0458
moda,52.50,0.4000,776,1551,55.9904,88.0648
moda,52.50,0.4250,786,1571,55.7508,88.2364
moda,52.50,0.4500,790,1579,55.7508,88.2936
moda,52.50,0.4750,796,1591,55.6709,88.3699
moda,52.50,0.5000,800,1599,55.6709,88.408
moda,55.00,0.0010,41,81,51.1182,58.1506
moda,55.00,0.0250,263,525,54.7125,70.5434
moda,55.00,0.0500,383,765,54.393,75.2526
moda,55.00,0.0750,520,1039,53.5942,80.9342
moda,55.00,0.1000,565,1129,53.9137,82.3451
moda,55.00,0.1250,605,1209,54.5527,83.47
moda,55.00,0.1500,642,1283,53.8339,84.3661
moda,55.00,0.1750,660,1319,54.2332,84.7092
moda,55.00,0.2000,685,1369,54.1534,85.205
moda,55.00,0.2250,708,1415,53.754,85.6244
moda,55.00,0.2500,732,1463,54.2332,86.1582
moda,55.00,0.2750,756,1511,54.3131,86.6349
moda,55.00,0.3000,766,1531,54.393,86.8065
moda,55.00,0.3250,766,1531,54.393,86.8065
moda,55.00,0.3500,768,1535,54.4728,86.8827
moda,55.00,0.3750,778,1555,54.4728,87.0543
moda,55.00,0.4000,797,1593,54.5527,87.3022
moda,55.00,0.4250,803,1605,54.5527,87.3975
moda,55.00,0.4500,804,1607,54.5527,87.4166
moda,55.00,0.4750,807,1613,54.5527,87.4547
moda,55.00,0.5000,807,1613,54.5527,87.4547
moda,57.50,0.0010,50,99,51.5974,58.7035
moda,57.50,0.0250,252,503,56.3898,70.6387
moda,57.50,0.0500,471,941,57.7476,80.572
moda,57.50,0.0750,521,1041,57.1885,82.2116
moda,57.50,0.1000,569,1137,56.4696,83.6034
moda,57.50,0.1250,613,1225,56.23,84.7855
moda,57.50,0.1500,636,1271,55.7508,85.3765
moda,57.50,0.1750,684,1367,55.8307,86.4252
moda,57.50,0.2000,733,1465,55.2716,87.531
moda,57.50,0.2250,752,1503,55.5911,87.8551
moda,57.50,0.2500,765,1529,55.5911,88.103
moda,57.50,0.2750,801,1601,55.5112,88.8084
moda,57.50,0.3000,817,1633,55.1917,89.1134
moda,57.50,0.3250,817,1633,55.1917,89.1134
moda,57.50,0.3500,820,1639,55.1917,89.1706
moda,57.50,0.3750,823,1645,55.0319,89.2278
moda,57.50,0.4000,825,1649,55.0319,89.266
moda,57.50,0.4250,825,1649,55.0319,89.266
moda,57.50,0.4500,825,1649,55.0319,89.266
moda,57.50,0.4750,828,1655,55.1118,89.3232
moda,57.50,0.5000,829,1657,55.0319,89.3613
moda,60.00,0.0010,52,103,51.8371,58.7989
moda,60.00,0.0250,375,749,57.0288,75.8437
moda,60.00,0.0500,415,829,56.6294,77.1211
moda,60.00,0.0750,530,1059,56.869,81.8875
moda,60.00,0.1000,560,1119,56.6294,82.6883
moda,60.00,0.1250,638,1275,56.6294,85.0143
moda,60.00,0.1500,689,1377,56.6294,86.1964
moda,60.00,0.1750,715,1429,56.9489,86.8065
moda,60.00,0.2000,727,1453,57.0288,87.0925
moda,60.00,0.2250,742,1483,57.0288,87.3594
moda,60.00,0.2500,762,1523,56.9489,87.7598
moda,60.00,0.2750,776,1551,57.0288,88.0267
moda,60.00,0.3000,790,1579,56.5495,88.3127
moda,60.00,0.3250,810,1619,56.6294,88.6559
moda,60.00,0.3500,811,1621,56.7093,88.694
